initial_error Jacobi_iterations Gauss_iterations
5.143944549560547 17.0 7.0
8.490960884094239 19.0 7.0
6.092655754089355 17.0 8.0
3.839707946777344 17.0 7.0
8.170790863037109 20.0 7.0
3.9298632621765135 19.0 7.0
10.1344783782959 19.0 8.0
7.976830291748047 16.0 8.0
10.348321533203125 17.0 8.0
9.567074966430663 16.0 8.0
5.040621185302735 19.0 7.0
8.812487030029297 19.0 8.0
8.84029312133789 18.0 8.0
5.353521156311035 19.0 7.0
4.321120071411133 16.0 7.0
6.799089050292968 19.0 7.0
6.354470539093017 19.0 7.0
6.169047546386719 16.0 8.0
5.55804557800293 20.0 7.0
9.003948593139649 20.0 7.0
5.971224212646485 19.0 6.0
5.295819473266602 18.0 7.0
7.240384864807129 19.0 7.0
5.275912570953369 18.0 7.0
4.309164237976074 15.0 7.0
9.4671199798584 19.0 8.0
10.798400497436523 15.0 7.0
8.559870147705078 17.0 6.0
7.699373054504394 20.0 7.0
9.556159591674804 18.0 7.0
9.502600860595702 20.0 7.0
6.5733074188232425 14.0 7.0
9.987560844421386 20.0 7.0
8.431576919555663 18.0 8.0
6.317724609375 17.0 7.0
7.110737228393555 17.0 8.0
9.899087524414062 20.0 7.0
9.941572952270509 17.0 8.0
2.3087484359741213 14.0 7.0
9.325930786132812 18.0 8.0
7.682973098754883 18.0 8.0
8.668271255493163 19.0 6.0
9.303549575805665 17.0 8.0
9.183787536621093 19.0 8.0
10.383445358276367 18.0 8.0
9.085779762268066 19.0 7.0
6.800886535644532 16.0 7.0
10.154679489135741 19.0 7.0
7.548229789733886 19.0 6.0
8.960665893554687 17.0 8.0
10.197631454467773 19.0 8.0
8.60353775024414 17.0 8.0
1.542312240600586 16.0 6.0
6.231581306457519 19.0 8.0
9.4489013671875 19.0 8.0
6.747313690185547 13.0 8.0
7.830813598632813 19.0 8.0
7.71043815612793 19.0 8.0
7.109566116333008 17.0 7.0
10.71664867401123 19.0 8.0
3.9787164688110352 18.0 7.0
6.345280742645263 19.0 7.0
9.193888473510743 18.0 8.0
2.8665754318237306 18.0 7.0
9.007684516906739 19.0 8.0
8.644130325317382 18.0 8.0
5.841867828369141 18.0 7.0
8.2580322265625 14.0 7.0
8.89392910003662 14.0 7.0
8.381689834594727 17.0 7.0
9.78407554626465 19.0 8.0
5.230706977844238 19.0 7.0
5.1732183456420895 18.0 7.0
7.347787666320801 18.0 8.0
4.841288948059082 17.0 7.0
10.24474639892578 20.0 7.0
7.228331756591797 19.0 7.0
9.071477699279786 18.0 8.0
8.500709915161133 18.0 7.0
7.884115600585938 20.0 7.0
7.211295318603516 16.0 7.0
8.309693527221679 19.0 7.0
6.699618530273438 17.0 8.0
9.874956703186035 17.0 8.0
8.678908538818359 20.0 7.0
7.898483848571777 19.0 8.0
8.868906593322754 16.0 7.0
5.588458251953125 14.0 7.0
5.09198226928711 16.0 7.0
2.9041505813598634 15.0 5.0
9.674632835388184 18.0 8.0
7.427847671508789 19.0 7.0
4.239795875549317 16.0 7.0
6.260912704467773 17.0 8.0
10.59356460571289 18.0 8.0
9.708680343627929 19.0 7.0
9.104421234130859 18.0 8.0
10.459501838684082 16.0 7.0
9.549496841430663 16.0 8.0
10.029279327392578 19.0 8.0
